PE (V):8000, 3rd Electrode (V):4000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):5.848292590887, 2st Solenoid wire current (A):0.15890097727815
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
183,1004.9628918118,-0.91277449941229,-11.511528058164,1231.7424005966,-2.9715257156289,-37.434736078319
184,1004.9269806708,-7.0063379814781,-1.9687622860883,1231.7522338801,-22.933180635073,-6.4419056576928
185,1004.9465479962,8.7802192005916,-2.7922790831406,1231.7393655275,28.668523659154,-9.1200137171027
186,1004.9817973278,4.9950782460484,7.2069227557644,1231.7427463217,16.321197127772,23.543895005971
187,1004.927486946,-7.165505851917,-5.8897937342294,1231.7403381885,-23.397936079282,-19.228771526547
188,1004.9069855351,9.3330762012098,-0.41123481225771,1231.7399533978,30.472328930918,-1.3453414565762
189,1004.9913770321,4.1944846757226,6.4997307279881,1231.748657262,13.722203909053,21.259613902034
190,1004.9311796783,-12.046484128402,-4.8294693731069,1231.7699647215,-39.041820549051,-15.647877028762
191,1004.9315457732,6.6405361359394,12.250191811438,1231.8075172017,21.46076343504,39.581427518476
192,1004.9600058621,15.809718875838,5.3434332881304,1233.4354990361,47.924141815706,16.192709802316
193,1004.9708133639,11.819134631856,8.8018207645217,1231.8595720365,38.067905994485,28.344492412939
194,1004.9358894708,-0.16149800553481,1.7395797923197,1231.7857710467,-0.5287296349533,5.7133120201443
195,1004.9194498138,1.1714276012091,-2.1810967178605,1231.784917084,3.8464429854117,-7.1614207027317
196,1004.9966448206,2.635349060244,17.048430248875,1232.765695951,8.2067049479526,53.060239190144
197,1004.9063787519,-2.4508572507214,6.2056627239185,1231.7567323559,-8.0253775834895,20.326309476491
198,1004.9274353944,-0.56406315209939,13.942672115166,1231.8082170644,-1.8184536320935,45.049462359596
199,1004.967032856,-6.6803376266741,-13.733497602275,1231.9100882535,-21.463163764953,-44.114634769911
200,1004.9008365277,9.359443370462,-5.8124176020305,1231.7382608562,30.470616716112,-18.926722494046
201,1004.9313377787,-13.784733495604,-10.08440157727,1232.3940509719,-43.46457625547,-31.791012290675
202,1004.9097123169,-0.62743616596357,-14.02517686602,1231.8118898654,-2.0307185944206,-45.302577587929
203,1004.9969430442,-10.589907265826,-13.620063887148,1232.746324195,-32.984432468104,-42.414920634545
204,1004.9173040427,-8.7409223970002,-2.0619885327681,1231.738893117,-28.552843341005,-6.7328480920745
205,1004.9731145807,3.5003047083488,10.962079054334,1231.7419596482,11.386483968431,35.649384057672
206,1004.9012457636,1.5035198169568,2.4567002269879,1231.7836203305,4.936530099938,8.0658807220788
207,1004.925647566,7.5912646142151,-10.55770841395,1231.7711325536,24.597534464723,-34.21606110728
208,1004.9006390016,-4.3946103394002,1.4547899106859,1231.7729870724,-14.415543481707,4.7738849887793
209,1004.9913215482,7.3156861910965,13.264401459166,1231.8959068265,23.516811863634,42.630768375379
210,1004.9201255849,6.9828593652667,-13.855630672722,1231.9374901239,22.397919391604,-44.452674329409
211,1004.9442502239,-6.4954374297316,-15.717835176501,1232.348339459,-20.519990001651,-49.642213254509
212,1004.9367649054,-7.0045351509892,14.93859064968,1232.1301733249,-22.292444073751,47.554039508237
213,1004.9858641845,2.3923866229347,10.813444617116,1231.7392733328,7.7894801068153,35.194243272665
214,1004.994062416,-12.425810084308,-4.3181119493459,1231.7754315234,-40.245629099604,-13.982002296791
215,1004.9965315667,7.6662189818179,11.84310327201,1231.8157678,24.754057839344,38.234044868447
216,1004.9711701396,-2.6090434205679,0.41363425389399,1231.7840628902,-8.5651540035654,1.3583444537044
217,1004.9670700569,0.1940988607232,2.6485736886754,1231.783822805,0.63715641390439,8.6950765909537
218,1004.9587119818,6.1445347921845,-5.8922068362563,1231.741241735,20.080265101048,-19.258936054247
219,1004.9419498413,3.1114670862998,7.2609064584879,1231.7467920456,10.178865640681,23.747544123398
220,1004.9936039861,0.38600131889618,-8.7213322695716,1231.7423046779,1.2587507842275,-28.493769486357
221,1004.927718217,-15.638194399354,5.4110860657428,1232.1439449221,-49.750268167553,17.219398840055
222,1004.9984842112,-2.6166736840817,4.641396216413,1231.7672789511,-8.5765046811809,15.215165679094
223,1004.9165449478,6.6357861455532,3.8065436730537,1231.7473334516,21.713131949768,12.45304405203
224,1004.9937583893,4.5365542130308,5.8358421560672,1231.7513539406,14.845919629887,19.094697800993
225,1004.9474354874,-12.361118932825,-1.531832785535,1231.756061673,-40.115487942174,-4.9676735725033
226,1004.9299058001,-5.542765130199,7.0135961106934,1231.7397560364,-18.104034829794,22.91225483984
227,1004.9065465421,6.0997495890689,-5.2029785023524,1231.7446578759,19.947929811295,-17.018272185905
228,1004.9590409325,8.0749393703546,1.2970229518829,1231.7448042863,26.401637434526,4.2382463532451
229,1004.9600805845,-12.543578597491,6.8436778560574,1231.8294998418,-40.471605860343,22.085476307801
230,1004.9225357083,-11.735341710081,5.6351513702169,1231.7718771755,-38.027351299179,18.26443576014
231,1004.9224061603,8.6584348820694,9.7221672632335,1231.7719090525,28.06092274349,31.502630672401
232,1004.9553818682,8.7637530848476,6.3536431194183,1231.7390956947,28.54191555012,20.688993127448
233,1004.9503276004,12.319628326682,-9.1685336093371,1231.9219705905,39.554544475204,-29.442729085094
234,1004.9525952756,-8.3762418111813,-4.527291348227,1231.7368419412,-27.339240006774,-14.773712307685
235,1004.9813467049,2.6459487042879,-2.5228300067549,1231.7800104177,8.6814389347067,-8.2788852680882
236,1004.9079116494,3.1652334126823,3.8038188216812,1231.7678115113,10.381576235085,12.474140396972
237,1004.9638721214,-2.6777290210839,-13.0232117125,1231.7792742003,-8.672981601517,-42.16325861304
238,1004.9608387586,-10.397470347806,-1.2459684894725,1231.7366923598,-33.882641825963,-4.0572772674215
239,1004.9745681758,-10.425637068361,0.20488474822598,1231.7370608999,-33.975366803879,0.67052063497068
