X [m], Y [m], Z [m], MagneticFluxDensity X [T], MagneticFluxDensity Y [T], MagneticFluxDensity Z [T]
-0.03, -2.42861e-20, -2.35637e-05, -0.00560947, 1.70078e-05, 0.000185665
-0.0235979, 0.00555347, 0.00426133, -0.00711734, 0.00062362, -0.00026725
-0.0267917, 0.00580783, 0.00388067, -0.00746343, 0.00120139, 0.000460494
-0.03, 0.00277674, 0.00211888, -0.00540829, 0.000545006, 0.000585239
-0.0267917, 0.00303109, 0.00173822, -0.00720948, 0.000600319, 0.000149329
-0.0235906, 0.00580783, 0.00388067, -0.00754393, 0.00158366, -0.00112383
-0.026799, 0.00555347, 0.00426133, -0.00768203, 0.00108444, 0.000549439
-0.026799, 0.00277674, 0.00211888, -0.00727079, 0.000352501, 0.000220309
-0.0235687, 0.00646716, 0.00267878, -0.00743109, 0.00176314, -0.000558991
-0.0235393, 0.0025358, 0.00248278, -0.00835355, 0.000460037, 0.000393923
-0.0235834, 0.00606218, 0.0035, -0.00753061, 0.00165663, -0.00111098
-0.03, -2.42861e-20, -2.35637e-05, -0.00560947, 1.70078e-05, 0.000185665
-0.023554, 0.00450148, 0.00258078, -0.00783505, 0.000833244, -0.000412625
-0.0235613, 0.00429899, 0.00299139, -0.0077412, 0.000586899, -0.00049934
-0.023576, 0.00626467, 0.00308939, -0.0075326, 0.00170332, -0.00114843
-0.0267844, 0.00323358, 0.00132761, -0.0071693, 0.0007369, 0.000284781
-0.0267696, 0.0012679, 0.00122961, -0.00712289, 0.000351739, 0.00045041
-0.0267917, 0.00303109, 0.00173822, -0.00720948, 0.000600319, 0.000149329
0.00179348, -0.000913683, 0.00694011, -0.0514329, -0.00195252, 0.0138772
0.00896552, -0.00181173, 0.00676148, -0.0796294, -0.00466211, 0.0127643
0.00178688, -0.00181173, 0.00676148, -0.0508986, -0.00260273, 0.0126207
0.00535988, -0.000567156, 0.00519533, -0.0656381, -0.00126706, 0.00983463
0.0053795, -0.00136271, 0.0068508, -0.0656565, -0.00279263, 0.0133859
0.0053762, -0.00181173, 0.00676148, -0.0655487, -0.00323319, 0.0130031
0.00179018, -0.00136271, 0.0068508, -0.051024, -0.00185603, 0.0124683
0.00357668, -0.00074042, 0.00606772, -0.0584287, -0.00185487, 0.0117207
0.0071627, -0.00118944, 0.0059784, -0.0727821, -0.00265411, 0.0113792
0.00357338, -0.00118944, 0.0059784, -0.0584045, -0.00229574, 0.0113099
0.00415951, -0.00426133, -0.00555347, -0.0583858, -0.00504127, -0.0109149
0.00365698, -0.0035, -0.00606218, -0.0525843, -0.000584631, -0.0128303
0.0043545, -0.00507159, -5.30183e-05, -0.0611999, -0.00922726, 5.39713e-05
0.00659008, -0.00555347, -0.00426133, -0.0700069, -0.0103537, -0.00891912
0.00390824, -0.00388067, -0.00580783, -0.0564565, -0.00322263, -0.0123437
0.00400574, -0.0042858, -0.0030576, -0.0575191, -0.00634016, -0.00645031
0.004257, -0.00466646, -0.00280325, -0.0603278, -0.00834212, -0.00576617
0.00537479, -0.0049074, -0.0049074, -0.0652952, -0.0101435, -0.0116083
0.00512353, -0.00452674, -0.00516175, -0.0639428, -0.00770392, -0.0116963
0.00547229, -0.00531253, -0.00215717, -0.0656283, -0.00964077, -0.00432358
0.183953, 0.00181173, -0.00676148, -0.0152656, -0.00150613, 0.00427079
0.174977, 0.00267878, -0.00646716, -0.0289433, -0.00316889, 0.00645205
0.17393, 0.00181173, -0.00676148, -0.030936, -0.00236434, 0.00793779
0.18186, 0, -0.00512461, -0.0184585, 3.93468e-05, 0.00377439
0.179465, 0.00224526, -0.00661432, -0.0218978, -0.000203645, 0.00628177
0.174453, 0.00224526, -0.00661432, -0.0297201, -0.00282806, 0.00747507
0.178942, 0.00181173, -0.00676148, -0.0229065, -0.000493627, 0.00608065
0.182907, 0.000905867, -0.00594305, -0.0168166, -0.000648386, 0.0041941
0.178418, 0.00133939, -0.00579588, -0.0237176, -0.000812926, 0.00453038
0.177895, 0.000905867, -0.00594305, -0.0246874, -0.000435168, 0.00527189
0.0104716, -0.00426133, -0.00555347, -0.0855697, -0.00720283, -0.00886271
0.00817123, -0.0035, -0.00606218, -0.0770289, -0.00652289, -0.0111066
0.00415951, -0.00426133, -0.00555347, -0.0583858, -0.00504127, -0.0109149
0.00659008, -0.00555347, -0.00426133, -0.0700069, -0.0103537, -0.00891912
0.00932139, -0.00388067, -0.00580783, -0.081525, -0.00708066, -0.0104551
0.00616537, -0.00388067, -0.00580783, -0.0690933, -0.00282091, -0.00754973
0.00731553, -0.00426133, -0.00555347, -0.0733442, -0.00815857, -0.012027
0.00853082, -0.0049074, -0.0049074, -0.0781388, -0.00935767, -0.0100844
0.00738065, -0.00452674, -0.00516175, -0.0736519, -0.00886088, -0.0109712
0.00537479, -0.0049074, -0.0049074, -0.0652952, -0.0101435, -0.0116083
0.00957445, -0.00494975, -0.00494975, -0.0823528, -0.00954365, -0.00953336
0.0104716, -0.00426133, -0.00555347, -0.0855697, -0.00720283, -0.00886271
0.00797341, 0.000913683, -0.00694011, -0.0757353, 0.00186804, -0.0119194
0.0107215, 0, -0.007, -0.0867667, -0.000237176, -0.0141004
0.010023, -0.00460554, -0.00525161, -0.0838902, -0.00810353, -0.00876155
0.00922248, -0.00167382, -0.00624679, -0.0805566, -0.00309432, -0.011737
0.00877393, -0.00201803, -0.00594493, -0.0792045, -0.00416915, -0.0118533
0.010148, -0.00247487, -0.00597487, -0.0847484, -0.00493191, -0.0124671
0.0105965, -0.00213067, -0.00627674, -0.0862453, -0.0038579, -0.0120856
0.00934745, 0.000456842, -0.00697006, -0.0808632, 0.000671418, -0.013608
0.144583, -0.0035, 0.00606218, -0.120967, 0.00457072, -0.00800211
0.149304, -0.00426133, 0.00555347, -0.108735, 0.00571419, -0.00771539
0.144259, -0.00426133, 0.00555347, -0.121399, 0.00482985, -0.00588148
0.148957, -0.00494975, 0.00494975, -0.109431, 0.00627576, -0.00585682
0.146943, -0.00388067, 0.00580783, -0.114594, 0.0044172, -0.00681226
0.146781, -0.00426133, 0.00555347, -0.115035, 0.00634432, -0.00843208
0.144421, -0.00388067, 0.00580783, -0.121367, 0.00500746, -0.00775522
0.14677, -0.00422487, 0.00550596, -0.115019, 0.00505912, -0.00684285
0.14913, -0.00460554, 0.00525161, -0.109294, 0.00624709, -0.00737397
0.146608, -0.00460554, 0.00525161, -0.115437, 0.0058494, -0.00675635
0.0104716, -0.00426133, -0.00555347, -0.0855697, -0.00720283, -0.00886271
0.00817123, -0.0035, -0.00606218, -0.0770289, -0.00652289, -0.0111066
0.0107215, 0, -0.007, -0.0867667, -0.000237176, -0.0141004
0.0129548, -0.000913683, -0.00694011, -0.095691, -0.00146266, -0.013528
0.00932139, -0.00388067, -0.00580783, -0.081525, -0.00708066, -0.0104551
0.00944636, -0.00175, -0.00653109, -0.0817397, -0.00321654, -0.0125187
